Inns,Wkt,Runs,Overs,RR,Player1,Player1_Runs,Player2,Player2_Runs,Start,Overs_Start,End,Overs_End,Team
1,1st,7,2,3.5,A Lyth,6,AN Cook,1,0,0,1/7,1.6,EN
1,2nd,35,11.2,3.08,AN Cook,19,GS Ballance,16,1/7,1.6,2/42,13.2,EN
1,3rd,1,1.1,0.85,IR Bell,1,GS Ballance,0,2/42,13.2,3/43,14.3,EN
1,4th,153,39,3.92,GS Ballance,45,JE Root,97,3/43,14.3,4/196,53.3,EN
1,5th,84,18.4,4.5,JE Root,37,BA Stokes,42,4/196,53.3,5/280,72.1,EN
1,6th,13,4.1,3.12,BA Stokes,10,JC Buttler,3,5/280,72.1,6/293,76.2,EN
1,7th,50,9.3,5.26,JC Buttler,24,MM Ali,26,6/293,76.2,7/343,85.5,EN
1,8th,52,11.2,4.58,SCJ Broad,18,MM Ali,34,7/343,85.5,8/395,97.1,EN
1,9th,24,3.1,7.57,MM Ali,17,MA Wood,3,8/395,97.1,9/419,100.2,EN
1,10th,11,1.5,6,JM Anderson,1,MA Wood,4,9/419,100.2,10/430,102.1,EN
2,1st,52,14.3,3.58,DA Warner,17,CJL Rogers,28,0,0,1/52,14.3,AU
2,2nd,77,18.3,4.16,SPD Smith,33,CJL Rogers,41,1/52,14.3,2/129,32.6,AU
2,3rd,51,9.4,5.27,CJL Rogers,26,MJ Clarke,25,2/129,32.6,3/180,42.4,AU
2,4th,27,9.3,2.84,MJ Clarke,13,AC Voges,14,3/180,42.4,4/207,52.1,AU
2,5th,51,15.1,3.36,AC Voges,17,SR Watson,29,4/207,52.1,5/258,67.2,AU
2,6th,7,4.2,1.61,SR Watson,1,NM Lyon,6,5/258,67.2,6/265,71.4,AU
2,7th,0,3.2,0,NM Lyon,0,BJ Haddin,0,6/265,71.4,7/265,74.6,AU
2,8th,39,7.5,4.97,BJ Haddin,22,MG Johnson,12,7/265,74.6,8/304,82.5,AU
2,9th,2,0.3,4,MG Johnson,2,MA Starc,0,8/304,82.5,9/306,83.2,AU
2,10th,2,1.3,1.33,MA Starc,0,JR Hazlewood,2,9/306,83.2,10/308,84.5,AU
3,1st,17,7,2.42,AN Cook,12,A Lyth,3,0,0,1/17,6.6,EN
3,2nd,5,3,1.66,GS Ballance,0,A Lyth,5,1/17,6.6,2/22,9.6,EN
3,3rd,51,9.4,5.27,A Lyth,29,IR Bell,18,2/22,9.6,3/73,19.4,EN
3,4th,97,20.2,4.77,IR Bell,42,JE Root,44,3/73,19.4,4/170,39.6,EN
3,5th,37,11.1,3.31,JE Root,16,BA Stokes,21,4/170,39.6,5/207,51.1,EN
3,6th,29,7.1,4.04,JC Buttler,7,BA Stokes,21,5/207,51.1,6/236,58.2,EN
3,7th,4,0.5,4.8,BA Stokes,0,MM Ali,4,6/236,58.2,7/240,59.1,EN
3,8th,5,1.3,3.33,SCJ Broad,4,MM Ali,1,7/240,59.1,8/245,60.4,EN
3,9th,43,8.3,5.05,MM Ali,10,MA Wood,32,8/245,60.4,9/288,69.1,EN
3,10th,1,1,1,JM Anderson,1,MA Wood,0,9/288,69.1,10/289,70.1,EN
4,1st,19,9.4,1.96,CJL Rogers,10,DA Warner,8,0,0,1/19,9.4,AU
4,2nd,78,16.5,4.63,DA Warner,44,SPD Smith,29,1/19,9.4,2/97,26.3,AU
4,3rd,4,1.1,3.42,SPD Smith,4,MJ Clarke,0,2/97,26.3,3/101,27.4,AU
4,4th,5,4,1.25,MJ Clarke,4,AC Voges,1,3/101,27.4,4/106,31.4,AU
4,5th,0,0.4,0,AC Voges,0,SR Watson,0,4/106,31.4,5/106,32.2,AU
4,6th,16,5.5,2.74,BJ Haddin,7,SR Watson,9,5/106,32.2,6/122,38.1,AU
4,7th,29,12.4,2.28,SR Watson,10,MG Johnson,19,6/122,38.1,7/151,50.5,AU
4,8th,72,14.5,4.85,MA Starc,17,MG Johnson,53,7/151,50.5,8/223,65.4,AU
4,9th,19,3.3,5.42,MG Johnson,5,JR Hazlewood,14,8/223,65.4,9/242,69.1,AU
4,10th,0,1.2,0,JR Hazlewood,0,NM Lyon,0,9/242,69.1,10/242,70.3,AU
